,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
9436224,3575152,3191440,1971200,2511712,1121008,2412144,1366960,2240560,3131184,3068128
9436336,3092096,2916032,1869504,3300976,1907024,1809920,2306640,2307312,2333408,2351776
9438240,1713376,2946608,1752016,3832192,1701056,2314144,2366672,2807840,2119264,2226784
9439360,1373568,1685824,1922592,2336544,3417568,2926672,2243472,2061472,3353168,1355200
9440368,1989008,1120896,1775312,2276960,2079728,1377824,2453808,2141216,2601872,2618336
9440704,1687168,2861712,2076704,1728944,4060000,2000320,2444400,1720992,3560256,2789136
9443504,2061920,2113776,1759072,1635200,3604608,1728832,3456880,2438912,2263968,4067728
9445296,2534448,2192960,3331776,1126608,2186016,2918272,2515520,3930080,2105712,1761424
9445744,2041648,3430448,3064208,2723056,3373664,1700384,2412368,2821280,2584176,1379504
9446976,2098096,4126640,1398656,2460192,1419712,1786288,2075696,3720864,2288384,1708336
9447872,1444800,1683808,1383872,1637440,1621872,2582720,2570736,2680496,1649984,1531600
9448432,2176832,1646624,3979696,2909872,1748768,3292464,1367184,1419824,2136176,1492288
9448768,2564912,1728832,1718080,3080224,3784256,1658272,1661520,2061920,1685824,3129952
9449104,2043664,1861552,2770544,1139936,1681344,2550688,2896544,2039520,2333408,2544192
9450560,2271472,3554096,2854880,3374784,2395680,2543184,1449168,1690080,1706656,3097248
9453248,2809184,1598352,2899904,2413264,1384992,1681680,4056640,2818256,3067904,1429792
9453696,2119376,1364496,2641184,1396192,1547840,1857408,2691696,2045568,1371328,2928912
9455600,1135680,2398480,2840208,2396688,1921248,2546432,1992368,1125824,2286592,2055984
9455712,2368240,2069872,1432032,2182544,2336432,2824864,2548112,3485888,2224432,1822688
9456384,2307312,1728832,2479904,3483760,2718016,1374464,3359776,1432592,2174816,2061920
9457056,2339680,1610448,1548512,3556448,1398432,2111984,1694000,2845024,2335424,2181424
9457168,2881536,1984304,3713472,2838080,2026640,3955728,2331840,2724736,1646624,3358432
9457392,2691696,2140096,1402240,2858800,2108064,3456880,2397696,1827840,2305744,2839424
9458064,1933344,3418576,2153088,1672048,2344496,3092880,1622544,3723104,1904336,1531376
9460416,2019248,2174144,2142784,1947680,1777888,2306640,1709008,2930256,1725472,3148768
9461984,1858864,1655136,1851472,1447712,2243808,2639952,2429392,3558576,2502752,2232944
9463776,1544816,1632064,1444800,2769088,3374560,2361744,2724736,3772384,2403184,1419264
9463888,1350496,1965712,2964640,2209872,2944592,1933344,1124144,4160800,1374464,2511712
9466128,1419824,1540784,1675184,1536640,2308432,3469760,1921024,2558192,3155488,2909872
9466464,4114656,1126720,1135792,2362192,1542800,3357648,2175600,2118144,1547840,1450064
9466576,2896544,1988112,2271136,2187136,1477280,2186016,2098096,1677872,1870512,1591632
9469600,2837856,1375248,1492176,1648528,2388624,2043776,2027872,1371552,4081392,2334192
9469824,2182544,3287648,2760800,1971648,2888928,1858080,2909536,2889376,3772272,4073888
9470160,2436896,2110976,1682800,1409744,2437568,2466912,1782592,3744832,1488256,2403296
9471392,3893344,1449168,1849008,2058224,2417520,1841056,1684816,1655584,2060240,2201808
9471952,1697808,2209424,1771616,2240560,1687616,3951136,3610656,2110528,2052848,3920112
9472400,1645728,1690080,1781696,2504768,1635648,4049360,2447760,2601648,4040064,2564464
9474864,1361024,2840544,2496592,2685648,3557792,3483312,2887472,1617392,2387168,3713808
9476320,1429568,2288496,2181536,2861040,1401568,2815232,1616272,2950416,1675296,2564688
9481024,1367856,3456320,2838192,1694000,1902656,4114656,1757728,1361024,2243472,1676416
9482032,2429392,1920912,1694000,1705872,2839872,1822688,1351504,1616496,4132576,1694672
9482592,3968608,2142784,2140208,2771888,3311056,2362192,1676304,3851232,2481024,2090816
9483152,1732080,1373680,1707888,1698256,2105824,1518160,2208640,2699200,2366112,1701616
9484048,2442048,2061920,2812320,1635200,2165968,1993152,1691760,2210096,2305408,2366784
9484160,1622096,1858864,3718736,1635648,2118032,3784704,1740592,2708160,1125376,2319632
9485056,2014880,4164496,1545488,2398032,3576720,2141216,1683024,2401616,2073568,2601872
9486176,2140432,2108064,3154704,2275504,2845920,1762880,2560096,2708160,2618336,2861040
9486288,1916208,1755936,2142560,1520064,2445968,1352400,3304336,2437568,1597904,1685488
9488192,3430560,3092096,3070592,2055312,3415664,2422672,1120784,2894192,2953104,3364144
9490320,3410960,2928688,1563744,1374240,2243472,2224992,3603824,2444400,3968608,1687392
9491104,1599136,2291184,3375232,1724464,2964416,3781120,2426816,1763664,2256576,2542736
9492000,1621088,1666784,2821280,1420160,1885184,1929312,2122848,2426368,1591968,1901984
9493008,1432480,1384992,2424912,1947456,1732080,1648192,1559152,1966048,1394960,2085104
9493120,1376480,1687504,2555056,1639680,1366064,2342816,1756496,2276400,1516144,2754752
9494464,1553776,2308768,2034368,1353296,4044880,3375008,2885904,1878912,2020816,1887424
9495248,3975664,1531376,2049824,3430448,1904336,3417568,1682576,3151008,1379504,2159808
9496144,2291184,2240448,3367616,2933392,2122848,1414672,2413376,2221184,2098096,1677872
9496368,2136176,1656032,2532208,1676864,2549680,2845472,1376592,2460640,1532496,2876272
9497152,3129728,2873920,1399216,3193904,2255904,3456320,1442784,2478784,1628256,2474304
9497376,3410624,2058224,2958368,3893344,1685712,3185952,4127984,2119600,2578016,2248064
9500624,2321648,1553776,2034368,2371376,1865360,2020816,1776096,3366496,2463328,2030000
9501408,2506112,1947232,1671936,1361024,3554544,2239664,1929312,1655248,1565872,1786288
9502080,4126640,2098096,2816800,1136016,1788304,2896544,1924944,3194240,2142784,2118592
9503424,3951136,1858864,3968832,3357760,2118256,2290848,1921696,1851472,2240560,2839424
9503984,1908928,3555888,1683024,2285696,2827888,1531376,2360736,3926496,2405648,1685824
9504544,1861552,3066784,2122288,3562720,1424080,1841952,1559376,2219168,1649872,2438912
9505440,1396192,2377424,1776880,2928912,3308368,2116912,2356816,1382752,2168544,1573264
9506000,1552432,3723664,3714032,4012960,1419824,1674960,2377536,1576400,1129072,4036592
9507120,1565760,1745856,2281328,3470320,3955728,1878912,4008592,1908928,1968176,1483104
9507568,2209424,1453424,4008928,2502752,2639952,2168656,2166080,2187136,3154480,1416464
9507792,1395520,2822064,2073680,1358448,2846480,1726480,2107056,2887808,2192400,2761248
9510592,1597904,2224992,1613024,2066848,1622320,4195744,1565536,1677760,2153088,3830176
9513280,3097360,3063536,3345552,2943920,1995392,2877952,2104592,1697808,2290848,1684704
9514288,2532768,2335424,1907472,2555280,2481024,3352944,2122176,2459856,1685376,4125632
9516080,1648192,2942688,2847152,1545600,1385216,2039520,2373056,1970752,1935808,1701056
9517424,1839488,1727712,3716608,2564464,1734096,1682128,1414672,1908816,1622096,3984960
9518432,1626240,1651888,1548288,2708160,1120784,2006704,2303280,2398816,2956912,2234736
9519328,2799328,4036592,3917088,1962688,1580544,2815232,3310496,2540944,1419824,1131536
9520672,2421440,4064592,2306640,2271472,3893344,2122960,1449168,1800848,1133104,2380448
9520784,2337104,2846592,1571360,2334192,1597904,3067904,1371552,3718064,3744832,3311392
9523024,1865584,2421440,2434544,1906576,2304400,2164512,2308768,2223312,4131120,2484944
9523472,3097360,1351504,4008928,2877952,1122576,2140656,3741808,1500352,3150896,3410624
9527168,2450672,1471008,1139936,1623888,1610000,2187136,1827840,1885968,3408608,3371872
9527392,2347296,1125376,3408608,2446080,1934800,2713200,1381968,1617280,3141712,2522688
9527616,3979584,2169440,3164224,1492176,1687616,3311392,3945648,3193120,3464608,2366784
9529744,1398880,4011056,2518992,1125600,1803424,1678544,1971648,1607312,2440816,2918944
9530528,1685824,1740144,2061472,1141056,3492160,1418368,1121568,4008592,2517536,2354128
9530864,1760416,2276848,1387904,2098096,3832192,1376480,1665216,2812320,1755936,2221184
9533328,3830064,1767584,2380448,2801904,3417120,1865584,2942576,2122960,2561216,1688960
9534000,1924944,2388400,1741936,1748880,3072496,2845248,2847152,1363040,2411808,3092096
9535792,2543184,2271472,2603328,2450896,2219952,2243136,4073104,1355088,1954288,2155440
9538032,2681168,1921696,3304560,1953168,3968832,2240560,2889712,1682240,2296560,2493008
9539152,1449168,2931040,3374784,2951088,2276064,1885184,1776880,1726144,3068800,2770432
9540160,1700160,1732080,1977248,1384768,1648192,2085104,1576512,3310160,1635088,1432480
9542848,1685488,1531600,1681792,2224320,1997184,1772736,3912944,2305296,1962576,2580704
9543184,1396976,1410976,2080288,1750224,2407776,2795744,2429168,2106384,1781696,2142784
9543856,1684816,1865360,1566544,3285408,3407600,1534624,3306912,1635648,1122576,2799552
9545312,1775872,2495360,1413104,3967264,2109184,3310720,1755936,2414720,2765168,2157904
9545984,4187904,4008592,2074352,1645280,1569456,1559376,2506112,3562720,4048688,2850064
9546096,1569792,2800224,1129296,2234736,2764048,1422400,2148272,3098368,1697360,2429392
9546208,1690416,2235856,1865360,3924704,2451008,3864560,2061584,2119376,1682128,2578576
9547328,1902432,1693776,2414048,2055984,2316608,2566592,2076144,2638944,1388352,1927408
9547440,2243472,2100336,3417568,2336544,1134336,1698368,4136384,2456272,1827056,1518832
9548448,3952144,1132096,1694112,1902656,2039856,2155104,1563744,3066224,2119600,1374240
9551696,1664656,1800848,2095856,1121568,1924944,1561616,2582720,1862784,2405536,3893344
9553712,2846480,2424912,1687168,2239216,2396688,1725920,1750448,2516752,1700048,2389856
9556400,1140272,1133216,3417568,1702960,1613472,1904336,3066000,2241904,1672048,2181760
9556960,2715776,2502864,2830016,3943744,1646400,3171280,1739920,2412144,1447488,1868048
9557744,2845472,1902432,2001776,2850848,3065664,3920000,2069872,2479680,2963744,2411472
9558304,3191440,1399216,2888816,1976352,1438304,2430176,2273040,2092048,2077376,4010272
9558416,2122288,2759680,1685936,2556624,2479792,2271248,2409792,2225664,2847152,4187904
9558864,1120896,3893344,1355088,1667120,1469552,2450896,1685712,1685376,2532768,2601872
9562000,3562720,2110528,1463952,2232608,2081408,3604496,1569456,3083472,2888928,1649872
9563120,2119376,1514912,1364496,2451344,1763328,3375232,1131760,2300480,1629712,3099488
9564240,1639680,1687168,1610448,2307424,2339680,1589504,3491488,1766352,3893344,1748880
9564912,2086336,3148768,2554944,1924944,2142784,1477280,3697680,2544192,1363040,2816800
9565024,2257472,1686944,3524192,2534448,2159136,3949008,3080448,3930080,2489312,2555280
9566704,2766176,1376480,2083536,1775424,2709280,1858864,2339456,1405040,2298464,1665216
9567824,2399152,2170112,2432640,1537760,2140880,3713696,1677872,3974096,1755936,2142560
9571856,2449440,2558080,2251536,1965712,3713696,2948512,2209872,3604832,3464832,4136608
9572080,2451008,3487008,3430560,3415664,1622096,3070592,2415168,1885968,4067728,1136128
9572640,2083536,2851520,2847152,2528848,3741808,3092096,1629712,2249632,2563120,2377312
9573424,2119600,1691872,2014880,2405872,2208640,2551136,2167200,1919008,2338896,1901088
9573872,1597232,1566096,3949008,1681120,2139760,2537136,2377984,1972544,2153088,2489312
9575104,1662192,1627360,1371328,1610000,2764496,1990352,2028320,2532208,1902880,2263968
9575888,2566704,3851120,2286256,1573264,2285808,1497328,2075136,1726816,2413264,1384992
9576448,1907024,1799616,1927408,2323664,2017904,1571360,1605856,1639680,2041648,2805488
9576784,1497328,2888368,1527008,3912944,2574992,2840656,3781120,2699200,1683808,2426816
9577568,3411184,1366960,1727712,2492448,2061472,2818256,2801008,3080224,2169776,2235632
9577792,1993824,1571024,2123072,2388400,2192960,1428784,2000208,1940512,2860144,1977248
9578688,1995392,1379056,3922016,1135456,3174528,1927296,2840096,2451456,4067728,3345552
9579696,1682016,2434544,1773296,1589728,1418928,1632064,1917216,1417584,2957248,3554208
9579808,1924272,2959040,2041760,1673168,3968832,2005696,2265984,1728720,1698256,1873648
9580256,2336544,2243472,2799328,1907920,1687392,4114768,1492960,1870400,1694112,2252432
9581600,1428336,1377824,3604832,3132864,2479904,2515408,3375120,1413664,3097360,1139936
9581712,2199568,1611008,1622320,1677536,2561104,1939056,2443504,1932112,2018352,2200240
9582496,1424080,3082912,1707888,2271472,2880752,2109744,2886352,2913904,3367280,1601712
9582608,1726816,1766912,1927520,1363264,1376704,2494464,2846032,1576512,2200240,3083360
9583952,3931648,1564976,2545088,2943584,3975664,2122736,1948128,2067520,2415952,3129728
9585184,3092096,1422400,1589728,1476496,2377312,1381968,1828512,2493680,2430960,3181472
9586864,4135824,2375632,1879360,2337664,2812320,1804544,4017552,1553440,2926672,2404528
9588096,3967712,1783936,1707888,1451408,1732080,2022496,2041760,2271472,2715328,3298624
9588656,2716560,2916032,1907024,1955184,2087568,1396976,2041648,2912896,2194864,3092096
9588880,2003904,1686048,3913168,2287152,1701392,1755936,3490928,2085552,3604832,1976352
9589328,2401616,1545488,2055984,1863680,1121568,2073568,2894192,1865696,2333744,2414048
9594480,1902992,2407552,2577904,2194416,2421440,1414672,2304400,3555552,1608096,2306640
9594592,3131184,1766912,1597904,1487920,2492112,2061360,1386672,1771728,2077376,2097536
9595264,1916320,1860992,2043552,2943920,2374512,2223648,1666224,1509424,1954288,3410624
9595376,1966160,2301264,3558352,2789136,1720992,1352064,1687840,2920736,1602832,2208304
9595936,2800224,1424080,1991136,2157568,1569792,2344496,1132096,2499504,1822688,2002896
9596496,1622096,2136176,2240336,3310944,3070592,1548288,2532208,2154992,1714944,3487008
9596832,2290176,1968176,2387616,2698416,3189200,2502640,2182544,1591744,2336544,2568048
9597392,2232496,2290512,2821392,3678080,2339008,2792944,2412032,2816688,2373504,1373344
9600976,3561488,2118480,3151008,2377984,2847152,1667120,1927408,4187904,3949008,1766352
9602096,1622320,2468592,2910544,1605072,1120224,1678208,3889312,1773408,2899904,3082912
9602320,3070592,2304400,3430560,2055312,1422400,1746864,2109744,2422672,2136176,1410304
9604560,1969184,3955728,2210208,2086336,1548960,2954224,1413888,2026640,3742144,4187904
9605008,3418576,2329040,2769984,2583504,2018576,2148608,2113776,1140272,2048928,1574608
9605680,1133216,1782704,1432480,3784704,1622096,4043536,3718736,2319632,2077376,3939600
9607472,2766176,1386784,1425536,1144640,2325792,1815184,2339456,2800336,1755488,2233728
9612064,2290176,1725472,1561728,2095968,2601872,1368864,1128064,2377424,1495536,2502640
9613408,3562720,1463952,3727248,3604496,1729280,1725472,1563968,2005584,2532768,1886192
9614640,2049824,1770272,2251536,1133216,3487792,3151008,2004240,3561264,1394960,2290176
9617104,1429120,3576720,2916032,2360736,2438912,1627808,2153088,2139648,4056640,1134336
9617216,2430512,1760976,1781696,2069872,1415344,2290512,2336544,3411184,1767136,3407376
9620128,2305072,1366064,2314144,2532208,2098096,2242128,1639680,2438912,3070592,1514912
9621472,1559376,2333072,1645280,4164832,3955728,2420880,3063536,1775872,1861552,3292464
9622368,2234400,3063536,1773296,3098368,2290848,1966496,2398816,1422400,2108288,1775088
9623600,1756496,1579648,1123696,2055200,1858528,2577904,2516640,2499504,2153648,2410912
9627968,2224208,1617392,1415792,2028320,1125824,2155328,2428384,1665216,2824528,1965712
9628080,4029200,2188592,2602880,1605072,3864448,1363040,2720480,1523424,3718064,1485008
9628528,1576512,2073008,1621424,2116128,2807728,2200240,1376704,1568672,1426208,3352160
9628864,2953104,2517984,2319744,2493680,2240336,2214800,2716336,2146032,1655136,1383088
9629648,1745856,1574272,1574496,2080064,1775872,2894192,1481648,1537760,1940736,1367072
9630320,2014880,3912944,3182032,1567104,3788624,1531264,1411648,2580368,2405872,1726144
9630656,2699200,2954896,2888816,1703520,2958592,2964416,1969856,3700368,1688176,1599136
9630768,2706368,2092944,1386784,2679600,2446080,3092656,2820944,3352832,1652560,2524816
9630880,3490928,2273376,2070544,3559584,3979472,2301488,2848384,1374464,1865360,1948800
9631776,1561616,3092096,3304560,3097360,2095856,3922464,1469552,2142672,2097984,2582720
9632448,3092096,1561616,1381968,1487920,2376976,2306640,2337104,3922464,2109744,2168656
9632560,2229360,2192960,2847600,1379056,1383872,1379504,1671600,3469760,1964032,1573040
9632672,3164224,1551200,1647968,2058336,2224320,1622208,3064096,3155488,1685488,3928624
9633568,2460864,1900080,1398432,3353280,2144240,1708336,1886976,2445296,2801456,3181920
9634016,3127824,1551200,2360064,1905680,1984864,2886352,1569792,4011056,2441376,2285808
9634128,2795072,1954288,2219952,2041760,2283680,1617952,3487344,2043552,1666224,2249632
9634352,1425312,3194016,3557792,1698256,2334752,3723664,2937536,2505888,2958592,3772272
9634576,1380848,1803424,3178896,2580704,2444064,2424800,1953056,2264640,4061456,1787744
9635472,2397136,2942240,3072048,1363264,3417568,1946784,2469936,3924368,1415456,1376704
9636928,3555104,1387120,2339456,3184496,1425536,1746864,2766176,1728720,2817584,1376480
9637376,2225440,1601376,2317952,1964368,2920624,2111200,1560272,2427376,1729056,3889312
9638048,2333744,1777888,3066224,2433984,1863680,4073888,2317952,1919008,3362128,1561616
9639392,1609216,2821840,2040528,1634864,1729392,2845920,3469760,1725696,2943024,2522800
9641856,3967264,3559024,2035488,2766176,1749440,2224208,4177040,1369648,2964976,1723008
9647680,2046128,3603824,1499344,2842336,1686944,1121120,1828176,3418576,2329040,1709680
9648800,1120896,1392944,1904336,1358000,3469760,2155104,2336544,2467136,2356592,2572976
9649472,3920112,1561616,1683808,2321312,1966048,1121568,2136064,1448720,2304400,2079728
9651264,2699200,1969856,3555552,2956912,1520288,1709008,1413776,2188592,2162272,1380848
9651600,2845248,1728944,2110304,3417568,2946496,2414048,2911888,1692880,2472736,2072784
9654064,1702064,1635648,3108000,2374512,2147712,2873248,1520848,1933568,3098704,2140656
9654176,1674064,3417568,2397136,2888816,2942240,1709008,2086112,3483312,2109072,1729280
9655632,1415344,1693776,1573040,1667008,2850848,1475040,2376416,3721984,2411472,2399600
9657200,2499504,2429392,2337664,2314144,1885968,1623888,2800224,2319744,2151744,3415664
9657872,1908928,1124144,1773744,1638896,2770544,2108736,1927632,2757552,2122288,2043776
9659440,1662192,1623328,2083536,2525040,2896544,1413888,3430560,1749440,3063536,2086336
9659888,1596896,1140272,2871232,2953440,1370320,1387456,1702960,1948128,1531376,1506848
9660784,2544192,2269904,2493568,2851520,1900528,1880256,2455152,4007584,1142960,1686944
9661792,3310496,2232944,1757728,1126720,3922128,1636880,2200128,3655792,2316272,3558576
9662352,1766352,3949008,2388400,1900528,1632064,1995392,2192960,2065168,2724736,2331840
9662688,1552432,2407776,3129840,2226896,2467472,3182032,2939776,1401568,2356480,3562608
9663808,1650992,1988112,2441264,2019696,2287488,1447712,2821280,2801568,2271136,1914976
9667280,2002896,2515072,2452352,1900080,1132096,1822688,2933280,2108400,2839648,1729168
9668960,2889488,1800848,1561616,2095856,3893344,3953824,1729056,1375808,1901872,3358320
9669184,1857072,1755936,3301312,2555056,1350720,1597904,2941904,2056096,1133216,1668352
9671648,2861040,2140432,1358448,2889376,2269904,2337664,1566320,3154704,2209648,4036592
9673888,2043552,1121344,1902208,2226784,1618288,3410624,2154656,1411648,2208864,1140832
9674560,2361744,3478832,1528352,1444800,1973664,1544816,1729392,1935584,1604064,2691920
9676016,2360736,2959824,1388352,1953056,1658496,1420944,2831696,2061920,1727712,1135680
9676352,2122960,1609776,1449168,1984864,2157568,1682688,2027536,1352848,3893344,2417520
9676576,2716560,2845248,2373392,2847152,2154208,2160032,2051616,2225664,2478112,2087904
9677472,2845920,1998416,3831968,1729392,2816352,2691920,2306192,1392048,2440816,1423968
9678032,2142784,2407776,1784272,1376480,3298288,1665216,1449392,2520224,2242128,3559808
9679376,1564976,2511824,1390256,1770608,2337664,1765344,2828000,4193952,2291632,3604608
9679712,1728496,2421776,3561264,1933344,2366672,3533040,2850736,2718016,2444064,1416912
9679824,3092096,2002672,2401616,1434832,1860096,2716560,2850848,1682464,3918768,2082192
9680048,1124480,1687504,2913904,2136176,2155440,4126752,2236528,2241232,2055200,1563632
9683408,3371872,3082912,1425200,2815568,2158912,3722656,2792944,1424080,1709008,1998528
9683744,1390256,2061472,1140272,1685824,2151744,1593536,2308432,1418368,2544976,1370320
9684192,1916320,1684592,2927904,1705872,2423008,2230256,1351952,2578912,1648416,1411984
9684528,2429392,3155488,2910096,2421440,4036592,2889712,3193904,1144528,2165968,2336432
9686768,1865360,1682128,1694000,3560032,3698576,2158464,1615712,3749648,1780800,1351504
9687664,1418928,2436784,1703632,3292464,1694672,2839424,1574272,1580992,2821392,3698576
9688784,2558304,2637712,2234512,2928912,1726144,2027536,3308368,1729168,4044880,3130624
9689904,2188592,2845472,1953056,4125520,2956912,2699200,2412256,2061248,2109744,2446192
9691136,1667120,1471008,2118480,3681440,2028656,1547840,1477280,1367632,3083136,3484096
9692480,3092096,2320304,1516144,2716560,1589728,1924944,2475760,1902208,1887200,2582720
9693936,2717008,4126304,2387728,1650992,2821392,1662192,1378496,1796928,1124816,1128960
9696176,1927632,2271248,1645280,2897328,4164832,2841328,1658272,2081408,2056656,1908928
9696400,2061472,4049360,1140272,2255568,2424912,1932112,1639904,2325792,2576448,1373568
9696624,2181536,2713200,2329376,1675296,1425088,2947056,2915808,2715552,2091712,2861040
9701888,3509632,2170112,2136176,2336432,1813616,2116912,3301424,2447760,2399152,3722992
9704240,2164064,1489600,2873360,1635760,2288272,2788576,1574496,1740928,1519616,2337328
9704464,3974208,1900752,1674848,4028976,4029424,1132096,1973552,1363264,2110192,3150784
9704688,1622208,1678544,2518992,4011056,1605856,2353568,2425920,1971648,1398880,3175200
9705696,3193120,2917600,2889376,2396800,2699200,3700368,3945648,1771616,1497328,3311392
9706704,1384992,2927792,1685824,1688176,4056640,2958032,3494848,1683808,1121568,2818704
9707936,2154768,2842560,1677872,1976352,3967264,2463216,1140272,1873648,2766176,2147936
9709056,1887424,2398032,3561600,1565760,2601984,1371104,2601424,3376016,3097472,1398208
9709616,2715776,3407936,2534448,3930080,1531600,1126608,2223648,2192960,2376976,2420768
9709728,1597232,1367296,2321648,1413552,1623216,2336544,2200128,2824528,1963696,2301488
9710400,1676304,2910544,2396800,2396576,1927520,2019248,2699200,3744832,1674064,1121120
9710624,1126608,3130848,4028640,1360800,1870512,3353280,1666896,1610448,1726928,2787456
9710736,1766912,2314816,1376592,1776096,2070544,3948448,3979472,1363264,2265984,2034368
9711632,1666896,1726144,3130848,3193792,3346336,2900576,1758624,2167088,2861712,1776880
9712528,1998416,2873472,2821840,1632064,1419264,1609216,1430016,2950752,2845920,1966608
9712976,2876272,1580992,2136176,1410304,1675296,1135568,2424128,2460640,1878912,2159584
9713088,2081408,1137360,2516752,2873360,3562720,2209536,1366960,2257808,1431920,2576560
9713648,2226784,1993712,1804544,1376480,2314144,2339456,1863680,2302944,2475200,1688400
9713872,2119488,3178896,2517648,2693824,2910544,1520288,2140992,2411248,1678208,3490928
9718800,1561616,3920112,3092096,1683808,2277184,3097360,1429232,1671376,3304560,2398816
9719584,3939040,2601984,2305296,1661520,1545824,1568112,3429888,2110304,1688176,2286032
9719920,1609216,1126608,1378496,1694448,2150288,2545088,1675184,1686720,1132656,1998416
9720368,2043552,3951136,2209424,4006352,1803536,1687616,1916768,1124368,3132640,1626240
9722272,2825536,1490048,2511376,2121168,3137120,3561936,2894864,2157792,2362416,1580768
9722496,2953440,1361024,1887424,3108000,2336432,1616496,3948896,2233056,2451232,2164512
9722944,1610896,1351952,2402400,1565872,3430672,1987440,2685648,2755424,1947232,2558304
9723504,2051616,3304560,1633744,2716560,2901472,2827216,3492160,3930192,1632064,3092096
9724848,1682240,2753520,1361024,1617392,1419824,2209872,1578192,2229696,2121616,3129840
9725072,1648192,1673952,2039520,1645840,2249632,2080064,2252320,2029776,2208640,1777888
9725520,2005584,1658272,2174816,1532160,3080224,1590960,1672608,1386224,2056656,1797936
9726192,3063648,2468592,2555056,2715664,2400272,2231824,2233616,1400224,2083760,2455040
9726976,1685712,2935856,2055984,1120896,1692880,4164832,2467136,2563008,1442112,1627920
9727312,1428560,1726144,3912944,2080400,2956464,1772736,2098096,2928912,2304400,2122848
9729216,2958592,2681168,2845920,2434544,1609216,4014080,3320688,1682016,2158688,2852864
9729440,1137248,2402848,2515632,1412320,2514848,2545088,3963344,3140256,4158224,3358544
9729776,1804544,1376480,2766176,1521632,3965024,2716560,2339456,2898112,2035488,1794576
9730112,1124144,3430448,3975664,3417568,1638896,1751232,2947616,2637488,1352064,3411408
9730224,3979696,1921024,2932720,3308256,3300304,1886976,2706816,2232160,1486464,2565136
9733248,1429904,2157568,1772960,1127840,3082912,1917328,2792944,2880752,3725904,3070704
9733696,2440816,2110528,3604496,3424064,1729392,3930528,1804320,2366000,2282448,3107552
9739296,2209424,2896544,2118592,3194240,1916768,1843632,2052848,3154480,1428560,1363040
9740192,3125808,1449616,3098144,3713920,4029200,2821280,1580992,2060800,2240336,1987664
9740640,3063536,1681344,2039520,1690528,1690192,2847152,2766512,3097360,1521632,1775872
9741984,2821392,3150112,2139424,2231488,2860144,2079840,1597120,2847152,3072496,2248064
9745344,2098096,3181920,1424416,1428560,2816800,1477280,3300304,3928624,1449168,2367120
9745456,3830848,2416176,1734544,2154208,1571360,1625344,2888592,3154368,1492176,3128048
9747472,2323664,1993936,2122288,3967264,4187904,1741376,1604960,2004240,3151008,2823408
9747808,1395520,1638896,2107056,2051728,1636320,2543856,1726480,2119264,1932448,1755936
9748592,3059840,2139984,1431920,2414160,1636880,1932112,1907920,1401344,2375632,3490816
9750272,1831760,2333744,2097536,2904160,2051056,1520064,1589392,2427152,1813616,1686160
9750384,4201232,3604832,1965712,2152976,2763264,1900528,1588720,1374464,1935808,1828288
9751392,1636880,3310496,1441888,1907920,1965712,1379728,2430512,3533040,1351952,1408512
9752288,2502864,2715776,1531600,3376016,1671936,1693888,1356880,1383872,1686720,2809184
9752512,1551200,1416576,2043552,1729280,3111472,2045568,2699200,2945264,2188928,3986080
9752848,2323664,4052160,1861552,3352496,1554224,2409792,4067728,2305744,1635200,1626240
9756656,1377824,1648192,2181760,3309712,1645840,1955184,1707888,2699200,2222304,1809920
9757328,1542912,2083536,2716336,1521632,3070592,1413888,2953104,3142832,1527120,4012960
9758784,1927520,1766912,1576512,2638832,2373056,3968832,2265984,2846032,1858864,1697360
9758896,1688960,1389136,3968832,2160144,1554000,1429904,2580704,3951136,1865584,2958368
9759232,2210208,3922016,2842560,2809184,2305296,1902096,2876272,2026640,2638384,1969184
9761920,1682016,2698416,1683024,2034368,2337664,1417584,2167200,2192064,3603712,1136128
9764496,1904336,2467136,2414048,1693776,1531376,1927408,1921248,3131632,2856896,3658928
9764832,2034368,2845920,2371376,1697360,2265984,2303728,4011952,1766912,1569792,1694336
9766064,1396192,3952144,1919008,3150784,2086112,1668352,2859808,2091712,2419648,2221296
9767968,1900752,1363264,2818704,2821504,2115680,1376592,2242240,2900352,1636096,2755312
9769536,1379056,1120896,2113888,3175760,1364496,1774304,2534448,1907024,1142960,2192960
9769872,2005584,2943920,1598576,1545936,2113664,1673952,3784928,1430016,2642304,3162880
9770656,2276288,2894192,2479904,2061920,3174528,3483760,1964928,2916032,1927296,2442048
9771328,2240336,1135568,2808624,3346336,1361024,3171056,1552544,1410304,2537808,2717568
9772672,1429792,1571584,1904560,2167088,2566592,2426368,1684816,2916144,1418928,3367840
9773456,3310160,2936080,2485056,1411312,2691696,1371216,2432864,2140096,2920960,1687504
9775360,2118592,1535408,1558816,1622320,2425024,2291856,2819152,1571360,1939952,1387904
9776144,3700816,1140272,1608544,1621424,3417568,1996512,2397136,1363264,1639904,1682240
9776592,2847152,2716560,2086336,3150112,2276400,1766352,2388400,3408608,1907024,2160032
9777264,3830848,1492288,2958592,3424400,3714032,2166752,3829952,1880256,1426432,1849792
9777712,2401616,2894192,1371104,2307312,1927296,3831856,4187904,3967264,1728832,2479904
9777824,1804544,2337664,1566320,1387456,2415168,2140880,2447760,2314144,1684592,2407552
9778272,2825536,1700384,3647952,1542912,1413552,2301488,1877792,2336544,4012960,2920288
